title;start;CES_parameters;cm_calibration_string;c_CES_calibration_new_structure;cm_CES_calibration_default_prices;c_CES_calibration_write_prices;cm_iteration_max;regionmapping;cm_techcosts;cm_rcp_scen;cm_iterative_target_adj;c_budgetCO2;carbonprice;regipol;cm_regiCO2target;cm_emiMktETS;cm_emiMktETS_type;cm_emiMktES;cm_emiMktES_type;cm_emiMktEScoop;cm_emiMktES2050;cm_NucRegiPol;cm_CCSRegiPol;cm_altFeEmiFac;cm_co2_tax_2020;climate;optimization;c_testOneRegi_region;cm_nash_mode;capitalMarket;buildings;transport;cm_EDGEtr_scen;cm_co2_tax_growth;cm_emiscen;techpol;cm_multigasscen;cm_INCONV_PENALTY_bioSwitch;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau
EU11_OAS;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;OAS;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_REF;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;REF;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_SSA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;SSA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_USA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;USA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_DEU;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;DEU;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ECE;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ECE;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ECS;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ECS;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ENC;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ENC;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ESC;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ESC;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_ESW;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;ESW;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_EWN;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;EWN;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_FRA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;FRA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_UKI;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;UKI;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_NEN;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;NEN;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_NES;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;NES;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
